class,wesley,romulan,poetry,honor,tea,barclay
0,1,1,0,0,0,0
0,0,0,1,1,0,1
0,0,1,0,1,1,0
1,0,0,1,0,0,1
0,0,1,0,0,0,0
0,0,1,1,1,0,0
0,0,1,1,0,0,0
1,0,0,0,1,1,0
0,0,0,0,0,0,0
1,1,0,1,1,1,0
1,0,1,1,0,1,0
0,0,0,1,1,0,0
0,1,0,1,1,0,0
0,0,0,1,1,0,0
1,1,0,0,0,0,0
0,0,1,1,1,1,1
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,1
0,0,0,1,1,0,1
0,1,1,1,0,0,1
0,0,1,1,1,1,1
1,0,0,1,1,0,1
0,1,0,0,1,0,1
1,0,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,1,1
0,1,0,0,0,0,0
0,0,0,1,1,0,1
0,0,1,1,0,0,0
0,0,0,0,0,1,1
0,0,1,1,0,1,1
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,0,0,1,0,1
0,1,1,0,1,0,1
0,0,0,0,0,1,0
0,0,1,1,1,0,0
1,0,0,0,0,1,0
0,1,0,1,0,1,0
0,1,1,1,1,1,0
0,1,1,1,0,1,0
1,1,0,1,1,1,1
1,0,1,1,0,1,0
1,0,0,1,1,1,0
0,0,1,1,0,0,1
1,0,0,1,0,1,0
0,1,0,0,1,0,1
0,1,1,1,1,1,1
0,0,1,0,1,1,0
1,0,1,1,0,1,0
0,0,0,0,0,0,1
0,0,1,0,0,1,1
0,0,0,0,0,1,1
1,0,0,1,1,1,1
0,0,1,0,0,0,0
0,0,0,1,0,1,1
1,1,0,1,0,1,0
0,0,0,0,1,0,1
0,0,1,0,0,1,0
0,0,0,1,0,1,1
0,1,1,1,0,0,0
0,1,0,1,0,0,0
1,0,1,0,1,1,1
0,0,1,1,1,0,0
1,0,1,0,1,0,1
1,1,0,1,0,1,0
0,1,1,0,0,1,1
1,1,0,1,0,1,0
1,1,1,0,1,0,0
0,1,1,1,0,0,1
1,1,0,1,1,1,0
1,1,1,0,0,1,0
0,1,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,1,0,0,1,1,1
1,1,0,1,1,1,0
0,0,0,0,0,1,1
0,0,1,1,0,0,0
0,1,1,0,0,1,0
0,1,0,0,0,1,1
1,0,1,0,1,1,1
0,0,1,1,0,1,1
1,0,1,0,1,1,0
0,1,1,0,1,0,1
0,1,1,1,0,0,1
0,1,1,0,0,1,0
0,1,0,0,0,0,1
1,1,0,1,1,0,1
0,1,1,1,1,0,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,1,0,0,1,0,0
1,1,1,0,1,0,0
0,1,1,1,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,1,1,1,0,0
0,0,1,0,0,1,0
0,1,1,1,0,1,1
1,0,1,1,1,0,0
0,1,1,0,0,1,1
0,0,0,0,0,0,0
0,1,1,1,1,1,0
1,0,1,0,1,1,0
